date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2015-03-23 00:00:00,added David Wear to SAC,-65.8,-65,0.0,0.0
2015-04-02 00:00:00,added Sim Bhullar to SAC,97.5,31,0.0,0.0
2015-04-12 00:00:00,added David Stockton to SAC,-128.7,-97,0.0,0.0
2015-06-25 00:00:00,added Willie Cauley-Stein to SAC,0.0,-97,0.0,0.0
2015-07-09 00:00:00,lost Carl Landry to PHI,-682.8,-779,-0.5,-0.5
2015-07-09 00:00:00,lost Nik Stauskas to PHI,13266.1,12486,1.3,0.8
2015-07-09 00:00:00,lost Jason Thompson to PHI,-0.0,12486,-0.0,0.8
2015-07-09 00:00:00,lost Jayson Tatum to PHI,-0.0,12486,-0.0,0.8
2015-07-09 00:00:00,lost Romeo Langford to PHI,-0.0,12486,-0.0,0.8
2015-07-09 00:00:00,added Artūras Gudaitis to SAC,0.0,12486,0.0,0.8
2015-07-09 00:00:00,added Luka Mitrović to SAC,0.0,12486,0.0,0.8
2015-07-09 00:00:00,added De'Aaron Fox to SAC,0.0,12486,0.0,0.8
2015-07-09 00:00:00,lost Ray McCallum to SAS,435.2,12921,-0.0,0.8
2015-07-09 00:00:00,added Isaiah Cousins to SAC,0.0,12921,0.0,0.8
2015-07-13 00:00:00,added Kosta Koufos to SAC,-8774.699999999999,4146,0.1999999999999999,1.0
2015-07-13 00:00:00,added Rajon Rondo to SAC,2537.0,6683,1.9,2.9
2015-07-13 00:00:00,added Marco Belinelli to SAC,-6353.599999999999,330,-0.8,2.1
2015-07-14 00:00:00,added Omri Casspi to SAC,-844.2,-513,0.9,3.0
2015-07-16 00:00:00,added James Anderson to SAC,-3244.5,-3758,-0.5,2.5
2015-07-16 00:00:00,added Willie Cauley-Stein to SAC,-99.40000000000056,-3857,3.5,6.0
2015-07-21 00:00:00,added Caron Butler to SAC,-316.8,-4174,0.0,6.0
2015-07-22 00:00:00,added Quincy Acy to SAC,-87.60000000000001,-4262,0.4,6.4
2015-07-22 00:00:00,added Seth Curry to SAC,-138.4,-4400,0.3,6.7
2015-07-22 00:00:00,added Duje Dukan to SAC,-168.0,-4568,0.0,6.7
2015-09-09 00:00:00,added Vince Hunter to SAC,0.0,-4568,0.0,6.7
2015-09-09 00:00:00,added Eric Moreland to SAC,-216.0,-4784,0.0,6.7
2015-09-17 00:00:00,added Marshall Henderson to SAC,0.0,-4784,0.0,6.7
2016-06-23 00:00:00,added Marquese Chriss to SAC,0.0,-4784,0.0,6.7
2016-06-23 00:00:00,added Isaiah Cousins to SAC,0.0,-4784,0.0,6.7
2016-06-23 00:00:00,lost Marquese Chriss to PHO,8110.2,3325,0.4,7.1000000000000005
2016-06-23 00:00:00,added Bogdan Bogdanović to SAC,0.0,3325,0.0,7.1000000000000005
2016-06-23 00:00:00,added Skal Labissière to SAC,0.0,3325,0.0,7.1000000000000005
2016-06-23 00:00:00,added Georgios Papagiannis to SAC,0.0,3325,0.0,7.1000000000000005
2016-06-23 00:00:00,added Xavier Tillman Sr. to SAC,0.0,3325,0.0,7.1000000000000005
2016-07-07 00:00:00,lost Marco Belinelli to CHO,1955.8,5281,-0.4,6.7
2016-07-07 00:00:00,added Malachi Richardson to SAC,0.0,5281,0.0,6.7
2016-07-09 00:00:00,added Arron Afflalo to SAC,-5688.0,-406,-0.7,6.0
2016-07-09 00:00:00,added Garrett Temple to SAC,-5419.9,-5826,0.3,6.3
2016-07-09 00:00:00,added Matt Barnes to SAC,-2187.2000000000003,-8013,0.1,6.4
2016-07-09 00:00:00,added Anthony Tolliver to SAC,-1477.0,-9490,0.4,6.8
2016-07-12 00:00:00,added Malachi Richardson to SAC,-2864.4,-12355,-0.4,6.4
2016-07-13 00:00:00,added Georgios Papagiannis to SAC,-2009.8,-14364,-0.3,6.1
2016-07-15 00:00:00,added Skal Labissière to SAC,-5454.8,-19819,-0.3,5.8
2016-08-31 00:00:00,added Ty Lawson to SAC,-1732.0,-21551,0.4,6.2
2016-09-06 00:00:00,added Isaiah Cousins to SAC,0.0,-21551,0.0,6.2
2016-09-14 00:00:00,added Jordan Farmar to SAC,0.0,-21551,0.0,6.2
2016-10-21 00:00:00,added Lamar Patterson to SAC,0.0,-21551,0.0,6.2
2016-11-02 00:00:00,added Jordan Farmar to SAC,73.5,-21478,0.0,6.2
2017-02-20 00:00:00,lost Omri Casspi to NOP,127.2,-21351,-0.0,6.2
2017-02-20 00:00:00,lost DeMarcus Cousins to NOP,-11320.9,-32671,-4.0,2.2
2017-02-20 00:00:00,added Tyreke Evans to SAC,282.6,-32389,0.2,2.4000000000000004
2017-02-20 00:00:00,added Langston Galloway to SAC,-1762.5,-34151,-0.3,2.1000000000000005
2017-02-20 00:00:00,added Buddy Hield to SAC,6933.9,-27217,4.4,6.500000000000001
2017-02-20 00:00:00,added Zach Collins to SAC,0.0,-27217,0.0,6.500000000000001
2017-02-20 00:00:00,added Frank Mason III to SAC,0.0,-27217,0.0,6.500000000000001
2017-06-22 00:00:00,added De'Aaron Fox to SAC,0.0,-27217,0.0,6.500000000000001
2017-06-22 00:00:00,added Zach Collins to SAC,0.0,-27217,0.0,6.500000000000001
2017-06-22 00:00:00,added Frank Mason III to SAC,0.0,-27217,0.0,6.500000000000001
2017-06-22 00:00:00,lost Zach Collins to POR,7019.7,-20198,0.4,6.900000000000001
2017-06-22 00:00:00,added Harry Giles to SAC,0.0,-20198,0.0,6.900000000000001
2017-06-22 00:00:00,added Justin Jackson to SAC,0.0,-20198,0.0,6.900000000000001
2017-07-06 00:00:00,added Harry Giles to SAC,-3327.1,-23525,-0.1,6.800000000000002
2017-07-06 00:00:00,added Justin Jackson to SAC,-7328.7,-30854,-0.6,6.200000000000002
