date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2020-11-18 00:00:00,added Tyrese Haliburton to SAC,0.0,0,0.0,0.0
2020-11-18 00:00:00,added Xavier Tillman Sr. to SAC,0.0,0,0.0,0.0
2020-11-18 00:00:00,added Jahmi'us Ramsey to SAC,0.0,0,0.0,0.0
2020-11-18 00:00:00,added Kenyon Martin Jr. to SAC,0.0,0,0.0,0.0
2020-11-19 00:00:00,lost Xavier Tillman Sr. to MEM,-1325.6999999999998,-1325,-2.3000000000000003,-2.3000000000000003
2020-11-19 00:00:00,added Robert Woodard to SAC,0.0,-1325,0.0,-2.3000000000000003
2020-11-19 00:00:00,added Isaiah Mobley to SAC,0.0,-1325,0.0,-2.3000000000000003
2020-11-25 00:00:00,lost Kenyon Martin Jr. to HOU,5514.0,4188,-1.1,-3.4000000000000004
2020-11-25 00:00:00,added Luka Garza to SAC,0.0,4188,0.0,-3.4000000000000004
2020-11-26 00:00:00,added Tyrese Haliburton to SAC,7012.599999999999,11200,3.5,0.0999999999999996
2020-11-27 00:00:00,added Hassan Whiteside to SAC,-1201.2,9999,0.0,0.0999999999999996
2020-11-27 00:00:00,added Chimezie Metu to SAC,0.0,9999,0.0,0.0999999999999996
2020-11-28 00:00:00,added DaQuan Jeffries to SAC,-1229.6,8770,-0.2,-0.1000000000000003
2020-11-30 00:00:00,added Frank Kaminsky to SAC,0.0,8770,0.0,-0.1000000000000003
2020-11-30 00:00:00,added Robert Woodard to SAC,-675.3,8094,-0.1,-0.2000000000000003
2020-12-02 00:00:00,added Glenn Robinson to SAC,-1476.0,6618,-0.2,-0.4000000000000003
2020-12-03 00:00:00,added Jahmi'us Ramsey to SAC,-1347.6,5271,-0.3,-0.7000000000000004
2020-12-24 00:00:00,added Chimezie Metu to SAC,-3744.2,1526,0.3,-0.4000000000000004
2021-02-25 00:00:00,added Norvel Pelle to SAC,12.8,1539,0.0,-0.4000000000000004
2021-03-22 00:00:00,added Mfiondu Kabengele to SAC,0.0,1539,0.0,-0.4000000000000004
2021-03-25 00:00:00,lost Nemanja Bjelica to MIA,202.8,1742,-0.0,-0.4000000000000004
2021-03-25 00:00:00,added Maurice Harkless to SAC,-2462.4,-719,-0.3,-0.7000000000000004
2021-03-25 00:00:00,added Chris Silva to SAC,-185.4,-905,0.0,-0.7000000000000004
2021-03-25 00:00:00,lost Dalano Banton to TOR,2297.1,1391,0.1,-0.6000000000000004
2021-03-25 00:00:00,lost Cory Joseph to DET,4748.7,6140,-0.6000000000000001,-1.2000000000000006
2021-03-25 00:00:00,lost Luka Garza to DET,972.5,7113,0.1,-1.1000000000000003
2021-03-25 00:00:00,added Delon Wright to SAC,835.1999999999999,7948,0.6,-0.5000000000000006
2021-04-07 00:00:00,added Damian Jones to SAC,0.0,7948,0.0,-0.5000000000000006
2021-04-27 00:00:00,added Damian Jones to SAC,100.49999999999996,8048,0.7,0.1999999999999994
2021-04-30 00:00:00,added Louis King to SAC,-61.89999999999992,7986,0.0,0.1999999999999994
2021-07-29 00:00:00,added Davion Mitchell to SAC,0.0,7986,0.0,0.1999999999999994
2021-07-29 00:00:00,added Neemias Queta to SAC,0.0,7986,0.0,0.1999999999999994
2021-08-05 00:00:00,added Davion Mitchell to SAC,-15683.8,-7696,-1.6,-1.4000000000000008
2021-08-06 00:00:00,added Terence Davis to SAC,-1743.9,-9440,0.3,-1.1000000000000008
2021-08-06 00:00:00,added Richaun Holmes to SAC,-1546.1999999999998,-10987,0.3,-0.8000000000000007
2021-08-07 00:00:00,lost Delon Wright to ATL,-3194.4,-14181,-1.6,-2.400000000000001
2021-08-07 00:00:00,added Tristan Thompson to SAC,-1683.5,-15864,-0.2,-2.600000000000001
2021-08-07 00:00:00,added Maurice Harkless to SAC,-2847.9,-18712,-0.3,-2.900000000000001
2021-08-08 00:00:00,added Neemias Queta to SAC,-612.0,-19324,-0.1,-3.000000000000001
2021-08-13 00:00:00,added Alex Len to SAC,-2441.9999999999995,-21766,-0.2,-3.200000000000001
2021-09-08 00:00:00,added Emanuel Terry to SAC,0.0,-21766,0.0,-3.200000000000001
2021-09-23 00:00:00,added Matt Coleman to SAC,0.0,-21766,0.0,-3.200000000000001
2021-09-25 00:00:00,added D.J. Steward to SAC,0.0,-21766,0.0,-3.200000000000001
